,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,天　　　気　　　　日　　　　数,,,,,,IXL　i･９,霜　雪　期（前　年　か　ら　本　年　に　わ　た　る）,,,,,
,,快　晴,晴,曇　天,降　水,降　雪,暴　風,"･・－
回数",霜,,雪,,根　雪（長期積雪）,
,,,,,,,,,初　　日,終　　日,初　　日,終　　日,初　　日,終　　日
,35,33,179,153,176,86,208,24,9/27,5/12,10/31,4/30,12/ 7,3/ 9
,36,32,165,168,187,89,199,11,10/21,4/25,10/30,3/18,36- 2/ 1,2/28
,37,15,212,139,205,102,195,ｎ,10/24,5/14,10/29,4/14,12/18,2/28
,38,25,173,167,209,108,192,25,10/10,5/13,10/29,4/23,38- 1/29,3/26
,39,28,170,167,195,112,202,10,9/30,6/ 1,11/ 4,4/29,12/31,3/18
,40,34,183,148,193,105,185,24,9/27,5/23,11/ 2,3/30,12/21,2/ 6
,41,28,193,145,198,112,185,16,10/ 2,5/16,10/26,3/31,12/15,3/22
,42,24,195,146,198,102,175,10,10/13,5/ 1,11/ 8,4/11,12/16,3/28
,43,41,183,141,192,103,163,43,10/19,5/ 8,11/ 5,5/ 3,43- 1/22,3/17
,44,32,186,147,186,82,152,27,10/26,5/17,11/17,3/31,11/27,2/26
,大正１,21,184,161,194,123,177,26,10/20,5/26,11/27,4/26,12/ 6,2/23
,２,31,180,154,187,109,180,16,10/11,5/16,10/22,5/10,11/28,3/18
,３,34,191,140,181,97,233,35,10/ 5,5/15,10/31,4/14,12/14,1/18
,４,13,181,171,208,117,230,50,10/24,6/ 2,11/ 8,4/23,12/19,3/18
,５,19,188,159,195,118,228,47,10/16,5/17,10/28,4/14,5- 1/11,3/ 3
,６,26,186,153,190,92,266,43,ｎ／５,6/ 7,11/22,3/27,6- 1/22,2/18
,７,26,151,188,202,108,253,39,10/22,5/25,11/ 5,4/23,7- 1/ 2,3/16
,８,24,177,164,211,101,263,40,10/25,5/22,10/28,4/12,12/ 8,3/n
,９,25,170,171,202,97,246,27,10/17,4/30,11/ 9,4/ 8,9- 2/ 4,3/12
,1(〕,19,155,191,191,112,246,29,10/23,5/16,11/ 6,4/ 8,12/21,3/15
,11,19,187,159,199,111,272,17,10/13,5/ 5,11/12,4/ 9,12/30,3/ 9
,12,23,163,179,206,104,271,14,10/21,5/ 2,11/14,4/18,12/31,3/11
,13,28,187,151,195,119,190,23,10/27,5/14,11/ 8,4/ 5,12/27,3/26
,14,28,182,155,188,107,162,11,10/13,5/11,10/29,4/10,12/17,3/31
,昭和１,17,179,169,213,117,172,18,10/16,5/16,11/ 5,4/19,12/29,3/ 5
,２,33,180,152,197,99,162,18,10/10,5/14,10/27,4/16,2- 1/12,3/24
,３,25,154,187,197,108,145,17,10/19,5/ 8,11/12,4/24,12/16,3/ 7
,４,15,203,147,196,102,133,28,10/ 5,5/ 3,10/31,5/ 5,12/11,3/18
,５,38,178,149,183,104,149,27,10/29,5/18,11/ 1,5/ 6,12/31,2/27
,６,23,166,176,205,98,149,35,10/16,5/21,11/ 4,4/28,12/13,3/17
,７,22,184,160,213,86,125,27,10/12,4/24,10/28,4/11,7- 2/ 3,3/ 7
,８,28,204,133,187,101,98,29,10/15,5/ 9,11/ 8,4/28,8- 1/12,3/30
,９,20,184,161,193,120,81,13,10/ 8,5/ 3,11/ 2,4/14,9- 1/ 1,3/20
,10,24,177,164,214,105,83,38,10/ 3,5/11,11/ 8,5/ 1,10八/16,2/24
